KE/eV	PE: 600 eV
496	20.87728992
496.1	20.39897992
496.2	20.07022992
496.3	19.81136992
496.4	20.08793992
496.5	21.11061992
496.6	20.81696992
496.7	19.71206992
496.8	19.25799992
496.9	20.31956992
497	19.75208992
497.1	19.98312992
497.2	19.65418992
497.3	20.11191992
497.4	20.02467992
497.5	21.18102992
497.6	20.54228992
497.7	20.95666992
497.8	20.40822992
497.9	20.98609992
498	19.75529992
498.1	21.41191991
498.2	18.83970992
498.3	20.28154992
498.4	20.75602992
498.5	21.07961992
498.6	19.41102992
498.7	20.55511992
498.8	20.91775992
498.9	20.88917992
499	22.68095991
499.1	19.06814992
499.2	20.92761992
499.3	20.91163992
499.4	21.87330991
499.5	21.89385991
499.6	21.33708991
499.7	21.39743991
499.8	20.71407992
499.9	22.36927991
500	23.29615991
500.1	21.73881991
500.2	21.02200992
500.3	22.43116991
500.4	22.65537991
500.5	22.72535991
500.6	21.33073991
500.7	21.66113991
500.8	22.37971991
500.9	21.87928991
501	20.98756992
501.1	22.66382991
501.2	23.04775991
501.3	22.62230991
501.4	22.22565991
501.5	22.39005991
501.6	24.6613099
501.7	23.00761991
501.8	23.8301799
501.9	23.7908699
502	23.69551991
502.1	25.3423799
502.2	24.6073299
502.3	25.7096199
502.4	24.6591299
502.5	25.6134599
502.6	26.89595989
502.7	27.09644989
502.8	28.32681989
502.9	27.95407989
503	27.53098989
503.1	30.02643988
503.2	30.68938988
503.3	32.01955987
503.4	31.50636987
503.5	33.25339987
503.6	34.84841986
503.7	37.83426985
503.8	39.71326984
503.9	44.12521982
504	46.30560981
504.1	47.05810981
504.2	54.01922978
504.3	55.56586978
504.4	61.95666975
504.5	63.15877975
504.6	68.27393973
504.7	72.27593971
504.8	74.6635597
504.9	75.9237797
505	81.87758967
505.1	85.64798966
505.2	84.21939966
505.3	87.53961965
505.4	88.09961965
505.5	86.57752965
505.6	88.27016965
505.7	83.83201967
505.8	79.63400968
505.9	80.33589968
506	77.80830969
506.1	73.06795971
506.2	65.88220974
506.3	66.74179973
506.4	61.27037976
506.5	58.15272977
506.6	52.62475979
506.7	50.1277498
506.8	45.72795982
506.9	44.72480982
507	42.55915983
507.1	40.10294984
507.2	39.39924984
507.3	40.84169984
507.4	40.83133984
507.5	43.34829983
507.6	47.72029981
507.7	47.78450981
507.8	51.31462979
507.9	56.60863977
508	61.29402976
508.1	65.08091974
508.2	69.89239972
508.3	72.81759971
508.4	80.15053968
508.5	81.58433967
508.6	87.09861965
508.7	93.05660963
508.8	93.62305963
508.9	92.83491963
509	96.98660961
509.1	99.4663496
509.2	94.71060962
509.3	93.02781963
509.4	92.83725963
509.5	87.34487965
509.6	85.65447966
509.7	83.34764967
509.8	77.79870969
509.9	71.61645971
510	66.13365974
510.1	59.54860976
510.2	53.33050979
510.3	48.77816981
510.4	40.73303984
510.5	36.04344986
510.6	30.68723988
510.7	27.56354989
510.8	23.35500991
510.9	21.29131991
511	17.51545993
511.1	15.46099994
511.2	14.25874994
511.3	12.65192995
511.4	12.22622995
511.5	11.32090995
511.6	10.34723996
511.7	8.749113965
511.8	8.422133966
511.9	8.642700965
512	8.710434965
512.1	7.983168968
512.2	7.55515697
512.3	6.596119974
512.4	7.160274971
512.5	7.47573297
512.6	6.182581975
512.7	5.898545976
512.8	5.778784977
512.9	5.513176978
513	5.186957979
513.1	5.674167977
513.2	5.706185977
513.3	5.251623979
513.4	5.460819978
513.5	4.776911981
513.6	4.97284398
513.7	4.93441598
513.8	5.481322978
513.9	5.665248977
514	4.845751981
514.1	5.434462978
514.2	4.344210983
514.3	4.353479983
514.4	4.561991982
514.5	4.95352398
514.6	4.846788981
514.7	3.880740984
514.8	4.303070983
514.9	3.996175984
515	4.102690984
515.1	4.383970982
515.2	4.289486983
515.3	4.231796983
515.4	4.152710983
515.5	4.133125983
515.6	4.373539983
515.7	4.465461982
515.8	4.297327983
515.9	3.954154984
516	3.774742985
