
CLAM2 Development Software Ver.05:   CLAM2 Development by PES using Synchrotron Light: EDC
Sunday, September 04, 2011
Messured: 4:25:28 PM - 11:34:40 PM


Parameter Setting
Fix Photon Energy: 805.000000 eV
1638.4 eV (XPS): CAE=100
Kinetic Energy Scan:   496.0000 - 516.0000   eV 
 Kinetic Energy Step:  0.1000   eV 
 2400 lines/mm 
 Ch4-Speed:  High Speed Mode 
 Sampling: 1
Number of scan : 125*

Energy (eV)	CPS	Ie (mA)	Ip (A)	CPS/Ip	Avg CPS	Avg CPS/Ip	


Scan : 	1

496.000000	609.000000	161.988000	3.091571E-11	1.969872E+13	609.000000	1.969872E+13
496.100000	553.000000	161.971000	3.080558E-11	1.795129E+13	553.000000	1.795129E+13
496.200000	591.000000	161.971000	3.080913E-11	1.918263E+13	591.000000	1.918263E+13
496.300000	554.000000	161.971000	3.071321E-11	1.803784E+13	554.000000	1.803784E+13
496.400000	589.000000	161.955000	3.093703E-11	1.903867E+13	589.000000	1.903867E+13
496.500000	576.000000	161.955000	3.063150E-11	1.880417E+13	576.000000	1.880417E+13
496.600000	602.000000	161.938000	3.115019E-11	1.932572E+13	602.000000	1.932572E+13
496.700000	587.000000	161.938000	3.082690E-11	1.904181E+13	587.000000	1.904181E+13
496.800000	576.000000	161.920000	3.104006E-11	1.855667E+13	576.000000	1.855667E+13
496.900000	608.000000	161.920000	3.086242E-11	1.970033E+13	608.000000	1.970033E+13
497.000000	584.000000	161.904000	3.092637E-11	1.888356E+13	584.000000	1.888356E+13
497.100000	566.000000	161.904000	3.056400E-11	1.851852E+13	566.000000	1.851852E+13
497.200000	555.000000	161.886000	3.087308E-11	1.797683E+13	555.000000	1.797683E+13
497.300000	543.000000	161.886000	3.105782E-11	1.748352E+13	543.000000	1.748352E+13
497.400000	576.000000	161.886000	3.106493E-11	1.854181E+13	576.000000	1.854181E+13
497.500000	606.000000	161.869000	3.068834E-11	1.974691E+13	606.000000	1.974691E+13
497.600000	614.000000	161.869000	3.083400E-11	1.991308E+13	614.000000	1.991308E+13
497.700000	575.000000	161.850000	3.116085E-11	1.845264E+13	575.000000	1.845264E+13
497.800000	593.000000	161.850000	3.101519E-11	1.911966E+13	593.000000	1.911966E+13
497.900000	641.000000	161.831000	3.108624E-11	2.062006E+13	641.000000	2.062006E+13
498.000000	602.000000	161.831000	3.122480E-11	1.927955E+13	602.000000	1.927955E+13
498.100000	598.000000	161.813000	3.079847E-11	1.941655E+13	598.000000	1.941655E+13
498.200000	611.000000	161.813000	3.091216E-11	1.976568E+13	611.000000	1.976568E+13
498.300000	635.000000	161.796000	3.098322E-11	2.049496E+13	635.000000	2.049496E+13
498.400000	586.000000	161.796000	3.119283E-11	1.878637E+13	586.000000	1.878637E+13
498.500000	632.000000	161.796000	3.127454E-11	2.020813E+13	632.000000	2.020813E+13
498.600000	628.000000	161.780000	3.070610E-11	2.045196E+13	628.000000	2.045196E+13
