
CLAM2 Development Software Ver.05:   CLAM2 Development by PES using Synchrotron Light: EDC
Friday, December 16, 2011
Messured: 4:59:47 AM - 5:21:39 AM


Parameter Setting
Fix Photon Energy: 600.000000 eV
1638.4 eV (XPS): CAE=100
Kinetic Energy Scan:   50.0000 - 75.0000   eV 
 Kinetic Energy Step:  0.2000   eV 
 1200 lines/mm 
 Ch4-Speed:  High Speed Mode 
 Sampling: 1
Number of scan : 10*

Energy (eV)	CPS	Ie (mA)	Ip (A)	CPS/Ip	Avg CPS	Avg CPS/Ip	


Scan : 	1

50.000000	2037.000000	68.815000	2.486864E-10	8.191039E+12	2037.000000	8.191039E+12
50.200000	1998.000000	68.815000	2.487859E-10	8.031002E+12	1998.000000	8.031002E+12
50.400000	2030.000000	68.811000	2.484555E-10	8.170477E+12	2030.000000	8.170477E+12
50.600000	1905.000000	68.811000	2.486118E-10	7.662549E+12	1905.000000	7.662549E+12
50.800000	2027.000000	68.808000	2.486829E-10	8.150942E+12	2027.000000	8.150942E+12
51.000000	1948.000000	68.808000	2.480078E-10	7.854592E+12	1948.000000	7.854592E+12
51.200000	1979.000000	68.805000	2.492904E-10	7.938533E+12	1979.000000	7.938533E+12
51.400000	1934.000000	68.805000	2.487823E-10	7.773865E+12	1934.000000	7.773865E+12
51.600000	1950.000000	68.802000	2.489564E-10	7.832697E+12	1950.000000	7.832697E+12
51.800000	1881.000000	68.802000	2.480576E-10	7.582916E+12	1881.000000	7.582916E+12
52.000000	2015.000000	68.802000	2.483169E-10	8.114631E+12	2015.000000	8.114631E+12
52.200000	1937.000000	68.800000	2.482210E-10	7.803530E+12	1937.000000	7.803530E+12
52.400000	1944.000000	68.800000	2.482174E-10	7.831844E+12	1944.000000	7.831844E+12
52.600000	1994.000000	68.798000	2.491056E-10	8.004637E+12	1994.000000	8.004637E+12
52.800000	1890.000000	68.798000	2.471374E-10	7.647568E+12	1890.000000	7.647568E+12
53.000000	1963.000000	68.794000	2.482068E-10	7.908728E+12	1963.000000	7.908728E+12
53.200000	1924.000000	68.794000	2.480576E-10	7.756263E+12	1924.000000	7.756263E+12
53.400000	1886.000000	68.791000	2.490772E-10	7.571950E+12	1886.000000	7.571950E+12
53.600000	1927.000000	68.791000	2.487965E-10	7.745286E+12	1927.000000	7.745286E+12
53.800000	1862.000000	68.788000	2.487859E-10	7.484347E+12	1862.000000	7.484347E+12
54.000000	1876.000000	68.788000	2.485443E-10	7.547950E+12	1876.000000	7.547950E+12
54.200000	1815.000000	68.788000	2.489209E-10	7.291473E+12	1815.000000	7.291473E+12
54.400000	1845.000000	68.784000	2.488250E-10	7.414850E+12	1845.000000	7.414850E+12
54.600000	1822.000000	68.784000	2.488427E-10	7.321895E+12	1822.000000	7.321895E+12
54.800000	1875.000000	68.782000	2.481713E-10	7.555265E+12	1875.000000	7.555265E+12
55.000000	1818.000000	68.782000	2.482885E-10	7.322127E+12	1818.000000	7.322127E+12
55.200000	1762.000000	68.779000	2.482672E-10	7.097192E+12	1762.000000	7.097192E+12
55.400000	1912.000000	68.779000	2.483702E-10	7.698186E+12	1912.000000	7.698186E+12
55.600000	1811.000000	68.775000	2.489919E-10	7.273329E+12	1811.000000	7.273329E+12
55.800000	1821.000000	68.775000	2.480043E-10	7.342615E+12	1821.000000	7.342615E+12
56.000000	1763.000000	68.772000	2.482494E-10	7.101729E+12	1763.000000	7.101729E+12
56.200000	1807.000000	68.772000	2.491163E-10	7.253640E+12	1807.000000	7.253640E+12
56.400000	1786.000000	68.772000	2.487539E-10	7.179787E+12	1786.000000	7.179787E+12
56.600000	1781.000000	68.769000	2.488783E-10	7.156108E+12	1781.000000	7.156108E+12
56.800000	1748.000000	68.769000	2.482849E-10	7.040299E+12	1748.000000	7.040299E+12
57.000000	1779.000000	68.769000	2.491376E-10	7.140632E+12	1779.000000	7.140632E+12
57.200000	1825.000000	68.765000	2.489209E-10	7.331646E+12	1825.000000	7.331646E+12
57.400000	1786.000000	68.765000	2.481535E-10	7.197158E+12	1786.000000	7.197158E+12
57.600000	1691.000000	68.763000	2.481286E-10	6.815014E+12	1691.000000	6.815014E+12
57.800000	1726.000000	68.763000	2.481571E-10	6.955271E+12	1726.000000	6.955271E+12
58.000000	1701.000000	68.760000	2.492513E-10	6.824438E+12	1701.000000	6.824438E+12
58.200000	1680.000000	68.760000	2.491980E-10	6.741627E+12	1680.000000	6.741627E+12
58.400000	1816.000000	68.760000	2.479190E-10	7.324973E+12	1816.000000	7.324973E+12
58.600000	1667.000000	68.758000	2.490061E-10	6.694615E+12	1667.000000	6.694615E+12
58.800000	1687.000000	68.758000	2.487504E-10	6.781899E+12	1687.000000	6.781899E+12
59.000000	1746.000000	68.755000	2.486615E-10	7.021594E+12	1746.000000	7.021594E+12
59.200000	1726.000000	68.755000	2.484200E-10	6.947911E+12	1726.000000	6.947911E+12
59.400000	1749.000000	68.753000	2.479190E-10	7.054724E+12	1749.000000	7.054724E+12
59.600000	1807.000000	68.753000	2.488498E-10	7.261408E+12	1807.000000	7.261408E+12
59.800000	1813.000000	68.750000	2.486402E-10	7.291661E+12	1813.000000	7.291661E+12
60.000000	1779.000000	68.750000	2.479474E-10	7.174909E+12	1779.000000	7.174909E+12
60.200000	1784.000000	68.747000	2.480505E-10	7.192084E+12	1784.000000	7.192084E+12
60.400000	1783.000000	68.747000	2.480576E-10	7.187847E+12	1783.000000	7.187847E+12
60.600000	1844.000000	68.747000	2.482849E-10	7.426952E+12	1844.000000	7.426952E+12
60.800000	1812.000000	68.744000	2.482849E-10	7.298068E+12	1812.000000	7.298068E+12
61.000000	1930.000000	68.744000	2.484022E-10	7.769657E+12	1930.000000	7.769657E+12
61.200000	1816.000000	68.741000	2.480718E-10	7.320461E+12	1816.000000	7.320461E+12
61.400000	1877.000000	68.741000	2.482032E-10	7.562352E+12	1877.000000	7.562352E+12
61.600000	1901.000000	68.738000	2.480860E-10	7.662665E+12	1901.000000	7.662665E+12
61.800000	1976.000000	68.738000	2.487042E-10	7.945181E+12	1976.000000	7.945181E+12
62.000000	1917.000000	68.735000	2.486047E-10	7.711037E+12	1917.000000	7.711037E+12
62.200000	1964.000000	68.735000	2.485088E-10	7.903141E+12	1964.000000	7.903141E+12
62.400000	1979.000000	68.732000	2.486935E-10	7.957586E+12	1979.000000	7.957586E+12
62.600000	1971.000000	68.732000	2.487539E-10	7.923494E+12	1971.000000	7.923494E+12
