
CLAM2 Development Software Ver.05:   CLAM2 Development by PES using Synchrotron Light: EDC
Saturday, March 24, 2012
Messured: 11:44:37 AM - 11:56:39 AM


Parameter Setting
Fix Photon Energy: 600.000000 eV
1638.4 eV (XPS): CAE=100
Kinetic Energy Scan:   290.0000 - 325.0000   eV 
 Kinetic Energy Step:  0.1000   eV 
 1200 lines/mm 
 Ch4-Speed:  High Speed Mode 
 Sampling: 1
Number of scan : 2*

Energy (eV)	CPS	Ie (mA)	Ip (A)	CPS/Ip	Avg CPS	Avg CPS/Ip	


Scan : 	1

290.000000	1709.000000	88.103000	2.973408E-10	5.747614E+12	1709.000000	5.747614E+12
290.100000	1798.000000	88.098000	2.987335E-10	6.018742E+12	1798.000000	6.018742E+12
290.200000	1845.000000	88.098000	2.988187E-10	6.174312E+12	1845.000000	6.174312E+12
290.300000	1722.000000	88.092000	2.986695E-10	5.765570E+12	1722.000000	5.765570E+12
290.400000	1729.000000	88.092000	2.958700E-10	5.843783E+12	1729.000000	5.843783E+12
290.500000	1699.000000	88.087000	2.962537E-10	5.734949E+12	1699.000000	5.734949E+12
290.600000	1727.000000	88.087000	2.972449E-10	5.810024E+12	1727.000000	5.810024E+12
290.700000	1693.000000	88.081000	2.962572E-10	5.714629E+12	1693.000000	5.714629E+12
290.800000	1647.000000	88.081000	2.959659E-10	5.564830E+12	1647.000000	5.564830E+12
290.900000	1684.000000	88.081000	2.970850E-10	5.668411E+12	1684.000000	5.668411E+12
291.000000	1659.000000	88.076000	2.968861E-10	5.588002E+12	1659.000000	5.588002E+12
291.100000	1650.000000	88.076000	2.966374E-10	5.562346E+12	1650.000000	5.562346E+12
291.200000	1696.000000	88.071000	2.954579E-10	5.740243E+12	1696.000000	5.740243E+12
291.300000	1642.000000	88.071000	2.962928E-10	5.541815E+12	1642.000000	5.541815E+12
291.400000	1599.000000	88.065000	2.957421E-10	5.406738E+12	1599.000000	5.406738E+12
291.500000	1671.000000	88.065000	2.968257E-10	5.629566E+12	1671.000000	5.629566E+12
291.600000	1644.000000	88.059000	2.963425E-10	5.547635E+12	1644.000000	5.547635E+12
291.700000	1540.000000	88.059000	2.956355E-10	5.209117E+12	1540.000000	5.209117E+12
291.800000	1614.000000	88.054000	2.987974E-10	5.401653E+12	1614.000000	5.401653E+12
291.900000	1607.000000	88.054000	2.974581E-10	5.402442E+12	1607.000000	5.402442E+12
292.000000	1591.000000	88.054000	2.953158E-10	5.387453E+12	1591.000000	5.387453E+12
292.100000	1573.000000	88.048000	2.981047E-10	5.276670E+12	1573.000000	5.276670E+12
292.200000	1552.000000	88.048000	2.960867E-10	5.241708E+12	1552.000000	5.241708E+12
292.300000	1646.000000	88.043000	2.956071E-10	5.568202E+12	1646.000000	5.568202E+12
292.400000	1583.000000	88.043000	2.971206E-10	5.327803E+12	1583.000000	5.327803E+12
292.500000	1584.000000	88.038000	2.963425E-10	5.345166E+12	1584.000000	5.345166E+12
292.600000	1631.000000	88.038000	2.985168E-10	5.463679E+12	1631.000000	5.463679E+12
292.700000	1553.000000	88.032000	2.981899E-10	5.208091E+12	1553.000000	5.208091E+12
292.800000	1506.000000	88.032000	2.987690E-10	5.040684E+12	1506.000000	5.040684E+12
292.900000	1595.000000	88.032000	2.967369E-10	5.375132E+12	1595.000000	5.375132E+12
293.000000	1590.000000	88.027000	2.970957E-10	5.351811E+12	1590.000000	5.351811E+12
293.100000	1543.000000	88.027000	2.965379E-10	5.203382E+12	1543.000000	5.203382E+12
293.200000	1529.000000	88.022000	2.965237E-10	5.156418E+12	1529.000000	5.156418E+12
293.300000	1533.000000	88.022000	2.968399E-10	5.164400E+12	1533.000000	5.164400E+12
293.400000	1526.000000	88.016000	2.972698E-10	5.133384E+12	1526.000000	5.133384E+12
293.500000	1529.000000	88.016000	2.953513E-10	5.176886E+12	1529.000000	5.176886E+12
293.600000	1472.000000	88.011000	2.959943E-10	4.973069E+12	1472.000000	4.973069E+12
293.700000	1558.000000	88.011000	2.983320E-10	5.222370E+12	1558.000000	5.222370E+12
293.800000	1521.000000	88.006000	2.962999E-10	5.133313E+12	1521.000000	5.133313E+12
293.900000	1534.000000	88.006000	2.963532E-10	5.176256E+12	1534.000000	5.176256E+12
294.000000	1505.000000	88.006000	2.968044E-10	5.070680E+12	1505.000000	5.070680E+12
294.100000	1477.000000	88.000000	2.949960E-10	5.006848E+12	1477.000000	5.006848E+12
294.200000	1516.000000	88.000000	2.986269E-10	5.076569E+12	1516.000000	5.076569E+12
294.300000	1528.000000	87.995000	2.983640E-10	5.121261E+12	1528.000000	5.121261E+12
294.400000	1442.000000	87.995000	2.987193E-10	4.827274E+12	1442.000000	4.827274E+12
294.500000	1472.000000	87.989000	2.986233E-10	4.929287E+12	1472.000000	4.929287E+12
294.600000	1428.000000	87.989000	2.987868E-10	4.779328E+12	1428.000000	4.779328E+12
294.700000	1482.000000	87.983000	2.985310E-10	4.964309E+12	1482.000000	4.964309E+12
294.800000	1505.000000	87.983000	2.986837E-10	5.038775E+12	1505.000000	5.038775E+12
294.900000	1514.000000	87.977000	2.987477E-10	5.067821E+12	1514.000000	5.067821E+12
295.000000	1451.000000	87.977000	2.984279E-10	4.862146E+12	1451.000000	4.862146E+12
295.100000	1446.000000	87.977000	2.984670E-10	4.844757E+12	1446.000000	4.844757E+12
295.200000	1505.000000	87.972000	2.982077E-10	5.046818E+12	1505.000000	5.046818E+12
295.300000	1559.000000	87.972000	2.969749E-10	5.249602E+12	1559.000000	5.249602E+12
295.400000	1480.000000	87.968000	2.969713E-10	4.983647E+12	1480.000000	4.983647E+12
295.500000	1456.000000	87.968000	2.983107E-10	4.880817E+12	1456.000000	4.880817E+12
295.600000	1470.000000	87.962000	2.981828E-10	4.929862E+12	1470.000000	4.929862E+12
295.700000	1516.000000	87.962000	2.984208E-10	5.080075E+12	1516.000000	5.080075E+12
295.800000	1501.000000	87.956000	2.984457E-10	5.029391E+12	1501.000000	5.029391E+12
295.900000	1502.000000	87.956000	2.979732E-10	5.040722E+12	1502.000000	5.040722E+12
296.000000	1488.000000	87.956000	2.949250E-10	5.045351E+12	1488.000000	5.045351E+12
296.100000	1472.000000	87.951000	2.961826E-10	4.969907E+12	1472.000000	4.969907E+12
296.200000	1429.000000	87.951000	2.965699E-10	4.818426E+12	1429.000000	4.818426E+12
296.300000	1490.000000	87.945000	2.964740E-10	5.025736E+12	1490.000000	5.025736E+12
296.400000	1522.000000	87.945000	2.967937E-10	5.128141E+12	1522.000000	5.128141E+12
296.500000	1471.000000	87.940000	2.975185E-10	4.944230E+12	1471.000000	4.944230E+12
296.600000	1557.000000	87.940000	2.961045E-10	5.258279E+12	1557.000000	5.258279E+12
296.700000	1521.000000	87.934000	2.959482E-10	5.139413E+12	1521.000000	5.139413E+12
296.800000	1519.000000	87.934000	2.951204E-10	5.147052E+12	1519.000000	5.147052E+12
296.900000	1517.000000	87.934000	2.963212E-10	5.119445E+12	1517.000000	5.119445E+12
297.000000	1490.000000	87.928000	2.980691E-10	4.998841E+12	1490.000000	4.998841E+12
297.100000	1466.000000	87.928000	2.984315E-10	4.912350E+12	1466.000000	4.912350E+12
297.200000	1480.000000	87.922000	2.959837E-10	5.000275E+12	1480.000000	5.000275E+12
297.300000	1549.000000	87.922000	2.952838E-10	5.245801E+12	1549.000000	5.245801E+12
297.400000	1506.000000	87.916000	2.946976E-10	5.110323E+12	1506.000000	5.110323E+12
297.500000	1518.000000	87.916000	2.948326E-10	5.148684E+12	1518.000000	5.148684E+12
297.600000	1581.000000	87.910000	2.955325E-10	5.349665E+12	1581.000000	5.349665E+12
297.700000	1556.000000	87.910000	2.952127E-10	5.270776E+12	1556.000000	5.270776E+12
297.800000	1554.000000	87.905000	2.961471E-10	5.247392E+12	1554.000000	5.247392E+12
297.900000	1582.000000	87.905000	2.954472E-10	5.354595E+12	1582.000000	5.354595E+12
298.000000	1507.000000	87.905000	2.972307E-10	5.070136E+12	1507.000000	5.070136E+12
298.100000	1546.000000	87.900000	2.970033E-10	5.205329E+12	1546.000000	5.205329E+12
298.200000	1608.000000	87.900000	2.962857E-10	5.427194E+12	1608.000000	5.427194E+12
298.300000	1545.000000	87.894000	2.944276E-10	5.247470E+12	1545.000000	5.247470E+12
298.400000	1568.000000	87.894000	2.946337E-10	5.321862E+12	1568.000000	5.321862E+12
298.500000	1670.000000	87.888000	2.953833E-10	5.653671E+12	1670.000000	5.653671E+12
298.600000	1617.000000	87.888000	2.947225E-10	5.486517E+12	1617.000000	5.486517E+12
298.700000	1654.000000	87.888000	2.981366E-10	5.547793E+12	1654.000000	5.547793E+12
298.800000	1744.000000	87.882000	2.979128E-10	5.854062E+12	1744.000000	5.854062E+12
298.900000	1668.000000	87.882000	2.977991E-10	5.601091E+12	1668.000000	5.601091E+12
299.000000	1634.000000	87.882000	2.981935E-10	5.479663E+12	1634.000000	5.479663E+12
