
CLAM2 Development Software Ver.05:   CLAM2 Development by PES using Synchrotron Light: EDC
Wednesday, September 12, 2012
Messured: 1:09:32 PM - 1:17:32 PM


Parameter Setting
Fix Photon Energy: 39.000000 eV
81.9 eV (UPS): CAE=10
Kinetic Energy Scan:   34.0000 - 37.0000   eV 
 Kinetic Energy Step:  0.0200   eV 
 600 lines/mm 
 Ch4-Speed:  High Speed Mode 
 Sampling: 1
Number of scan : 3*

Energy (eV)	CPS	Ie (mA)	Ip (A)	CPS/Ip	Avg CPS	Avg CPS/Ip	


Scan : 	1

34.000000	489.000000	84.489000	8.608581E-11	5.680379E+12	489.000000	5.680379E+12
34.020000	497.000000	84.485000	8.597567E-11	5.780705E+12	497.000000	5.780705E+12
34.040000	583.000000	84.485000	8.600409E-11	6.778747E+12	583.000000	6.778747E+12
34.060000	544.000000	84.480000	8.616752E-11	6.313284E+12	544.000000	6.313284E+12
34.080000	528.000000	84.480000	8.623502E-11	6.122803E+12	528.000000	6.122803E+12
34.100000	485.000000	84.475000	8.603607E-11	5.637171E+12	485.000000	5.637171E+12
34.120000	492.000000	84.475000	8.632739E-11	5.699234E+12	492.000000	5.699234E+12
34.140000	528.000000	84.471000	8.637713E-11	6.112729E+12	528.000000	6.112729E+12
34.160000	503.000000	84.471000	8.617818E-11	5.836744E+12	503.000000	5.836744E+12
34.180000	473.000000	84.471000	8.644463E-11	5.471711E+12	473.000000	5.471711E+12
34.200000	500.000000	84.466000	8.640910E-11	5.786428E+12	500.000000	5.786428E+12
34.220000	447.000000	84.466000	8.631318E-11	5.178815E+12	447.000000	5.178815E+12
34.240000	504.000000	84.461000	8.648726E-11	5.827448E+12	504.000000	5.827448E+12
34.260000	483.000000	84.461000	8.664003E-11	5.574790E+12	483.000000	5.574790E+12
34.280000	457.000000	84.457000	8.642687E-11	5.287707E+12	457.000000	5.287707E+12
34.300000	511.000000	84.457000	8.658674E-11	5.901596E+12	511.000000	5.901596E+12
34.320000	458.000000	84.452000	8.599343E-11	5.325988E+12	458.000000	5.325988E+12
34.340000	477.000000	84.452000	8.623147E-11	5.531623E+12	477.000000	5.531623E+12
34.360000	477.000000	84.448000	8.661516E-11	5.507119E+12	477.000000	5.507119E+12
34.380000	412.000000	84.448000	8.636292E-11	4.770566E+12	412.000000	4.770566E+12
34.400000	448.000000	84.448000	8.645529E-11	5.181869E+12	448.000000	5.181869E+12
34.420000	478.000000	84.443000	8.641976E-11	5.531142E+12	478.000000	5.531142E+12
34.440000	458.000000	84.443000	8.619949E-11	5.313256E+12	458.000000	5.313256E+12
34.460000	474.000000	84.439000	8.634871E-11	5.489370E+12	474.000000	5.489370E+12
34.480000	468.000000	84.439000	8.616752E-11	5.431281E+12	468.000000	5.431281E+12
34.500000	414.000000	84.433000	8.627410E-11	4.798659E+12	414.000000	4.798659E+12
34.520000	483.000000	84.433000	8.634515E-11	5.593829E+12	483.000000	5.593829E+12
34.540000	474.000000	84.426000	8.622791E-11	5.497060E+12	474.000000	5.497060E+12
34.560000	451.000000	84.426000	8.629186E-11	5.226449E+12	451.000000	5.226449E+12
34.580000	431.000000	84.426000	8.622791E-11	4.998382E+12	431.000000	4.998382E+12
34.600000	465.000000	84.416000	8.610002E-11	5.400696E+12	465.000000	5.400696E+12
34.620000	480.000000	84.416000	8.621015E-11	5.567790E+12	480.000000	5.567790E+12
34.640000	463.000000	84.408000	8.610002E-11	5.377467E+12	463.000000	5.377467E+12
34.660000	467.000000	84.408000	8.602896E-11	5.428405E+12	467.000000	5.428405E+12
34.680000	437.000000	84.398000	8.616396E-11	5.071726E+12	437.000000	5.071726E+12
34.700000	465.000000	84.398000	8.616396E-11	5.396688E+12	465.000000	5.396688E+12
34.720000	403.000000	84.384000	8.616396E-11	4.677130E+12	403.000000	4.677130E+12
34.740000	447.000000	84.384000	8.615331E-11	5.188425E+12	447.000000	5.188425E+12
