BE/eV	AlKa
382	19655
381.9	19555
381.8	19215
381.7	20310
381.6	19330
381.5	19940
381.4	19670
381.3	19025
381.2	19625
381.1	19405
381	19725
380.9	18875
380.8	19010
380.7	19745
380.6	18845
380.5	18230
380.4	18695
380.3	18390
380.2	18650
380.1	18485
380	18155
379.9	18800
379.8	18905
379.7	18835
379.6	18890
379.5	18620
379.4	18755
379.3	18715
379.2	18765
379.1	19120
379	19405
378.9	19360
378.8	20100
378.7	19585
378.6	20470
378.5	20605
378.4	20895
378.3	21325
378.2	22800
378.1	22600
378	22705
377.9	22525
377.8	22115
377.7	20965
377.6	20505
377.5	19845
377.4	18635
377.3	18910
377.2	18545
377.1	19460
377	19230
376.9	19850
376.8	19660
376.7	19725
376.6	20600
376.5	20500
376.4	21295
376.3	21560
376.2	21950
376.1	22570
376	22595
375.9	24015
375.8	24005
375.7	25730
375.6	27190
375.5	28965
375.4	30395
375.3	33850
375.2	37385
375.1	42180
375	49355
374.9	59170
374.8	73795
374.7	95895
374.6	121385
374.5	154905
374.4	189795
374.3	219095
374.2	233885
374.1	223525
374	191290
373.9	147455
373.8	106065
373.7	72730
373.6	51375
373.5	38180
373.4	31615
373.3	26830
373.2	24035
373.1	22105
373	20670
372.9	19800
372.8	18765
372.7	19155
372.6	18185
372.5	18655
372.4	19295
372.3	18925
372.2	20075
372.1	19860
372	20235
371.9	19250
371.8	17975
371.7	16390
371.6	14740
371.5	13595
371.4	12885
371.3	12565
371.2	11840
371.1	12050
371	11825
370.9	11605
370.8	11805
370.7	12055
370.6	12365
370.5	12700
370.4	13325
370.3	13550
370.2	14490
370.1	15430
370	15915
369.9	17400
369.8	19010
369.7	20440
369.6	22885
369.5	25150
369.4	26390
369.3	31790
369.2	37355
369.1	45030
369	55180
368.9	71560
368.8	92885
368.7	122445
368.6	160535
368.5	205030
368.4	254810
368.3	299225
368.2	320715
368.1	307285
368	264230
367.9	201830
367.8	140050
367.7	91530
367.6	60125
367.5	41605
367.4	30910
367.3	23285
367.2	19485
367.1	15690
367	13455
366.9	11235
366.8	10015
366.7	8800
366.6	7945
366.5	7270
366.4	6765
366.3	5905
366.2	5950
366.1	5385
366	5120
365.9	4955
365.8	4795
365.7	4545
365.6	4255
365.5	4045
365.4	3915
365.3	3500
365.2	3635
365.1	3515
365	3290
364.9	3215
364.8	3385
364.7	3115
364.6	2915
364.5	3120
364.4	3135
364.3	3115
364.2	2710
364.1	2740
364	2800
363.9	2745
363.8	2700
363.7	2640
363.6	2730
363.5	2670
363.4	2460
363.3	2725
363.2	2595
363.1	2385
363	2485
362.9	2420
362.8	2525
362.7	2450
362.6	2560
362.5	2545
362.4	2425
362.3	2315
362.2	2430
362.1	2390
362	2505
