BE/eV	AlKa
298	324.2826
297.95	352.4358
297.9	342.0087
297.85	342.0087
297.8	326.368
297.75	356.6066
297.7	344.0941
297.65	332.6243
297.6	332.6243
297.55	329.4962
297.5	339.9232
297.45	328.4535
297.4	304.4711
297.35	326.368
297.3	338.8806
297.25	328.4535
297.2	312.8128
297.15	322.1972
297.1	321.1545
297.05	335.7524
297	293.0013
296.95	306.5565
296.9	305.5139
296.85	315.9409
296.8	311.7701
296.75	276.318
296.7	297.1722
296.65	296.1295
296.6	250.2503
296.55	286.7451
296.5	309.6847
296.45	303.4284
296.4	301.343
296.35	294.044
296.3	282.5742
296.25	293.0013
296.2	269.019
296.15	297.1722
296.1	279.4461
296.05	295.0868
296	302.3857
295.95	284.6597
295.9	262.7628
295.85	265.8909
295.8	277.3607
295.75	287.7878
295.7	303.4284
295.65	270.0617
295.6	262.7628
295.55	273.1898
295.5	280.4888
295.45	254.4211
295.4	282.5742
295.35	274.2326
295.3	272.1472
295.25	275.2753
295.2	249.2076
295.15	274.2326
295.1	322.1972
295.05	284.6597
295	325.3253
294.95	252.3357
294.9	293.0013
294.85	272.1472
294.8	278.4034
294.75	275.2753
294.7	276.318
294.65	296.1295
294.6	259.6346
294.55	303.4284
294.5	293.0013
294.45	293.0013
294.4	298.2149
294.35	298.2149
294.3	303.4284
294.25	299.2576
294.2	308.642
294.15	310.7274
294.1	310.7274
294.05	308.642
294	305.5139
293.95	298.2149
293.9	285.7024
293.85	291.9586
293.8	263.8055
293.75	318.0264
293.7	297.1722
293.65	283.6169
293.6	304.4711
293.55	315.9409
293.5	272.1472
293.45	300.3003
293.4	284.6597
293.35	263.8055
293.3	281.5315
293.25	271.1044
293.2	283.6169
293.15	282.5742
293.1	261.7201
293.05	299.2576
293	287.7878
292.95	258.5919
292.9	280.4888
292.85	276.318
292.8	275.2753
292.75	279.4461
292.7	263.8055
292.65	270.0617
292.6	274.2326
292.55	265.8909
292.5	278.4034
292.45	306.5565
292.4	259.6346
292.35	281.5315
292.3	265.8909
292.25	255.4638
292.2	255.4638
292.15	289.8732
292.1	264.8482
292.05	282.5742
292	288.8305
291.95	278.4034
291.9	284.6597
291.85	280.4888
291.8	246.0794
291.75	283.6169
291.7	301.343
291.65	271.1044
291.6	252.3357
291.55	273.1898
291.5	279.4461
291.45	258.5919
291.4	258.5919
291.35	293.0013
291.3	315.9409
291.25	286.7451
291.2	314.8982
291.15	294.044
291.1	308.642
291.05	306.5565
291	280.4888
290.95	325.3253
290.9	329.4962
290.85	318.0264
290.8	333.667
290.75	308.642
290.7	325.3253
290.65	349.3076
290.6	303.4284
290.55	356.6066
290.5	311.7701
290.45	319.0691
290.4	342.0087
290.35	349.3076
290.3	364.9483
290.25	398.315
290.2	303.4284
290.15	342.0087
290.1	350.3503
290.05	352.4358
290	357.6493
289.95	339.9232
289.9	367.0337
289.85	357.6493
289.8	364.9483
289.75	325.3253
289.7	340.966
289.65	367.0337
289.6	362.8629
289.55	381.6316
289.5	367.0337
289.45	353.4785
289.4	342.0087
289.35	352.4358
289.3	353.4785
289.25	297.1722
289.2	345.1368
289.15	291.9586
289.1	325.3253
289.05	326.368
289	305.5139
288.95	308.642
288.9	299.2576
288.85	294.044
288.8	316.9836
288.75	278.4034
288.7	323.2399
288.65	296.1295
288.6	318.0264
288.55	296.1295
288.5	288.8305
288.45	281.5315
288.4	280.4888
288.35	351.3931
288.3	323.2399
288.25	314.8982
288.2	364.9483
288.15	339.9232
288.1	389.9733
288.05	380.5889
288	470.2619
287.95	506.7568
287.9	572.4474
287.85	680.8892
287.8	761.1779
287.75	817.4842
287.7	877.9613
287.65	1026.026
287.6	1096.9303
287.55	1191.8169
287.5	1301.3013
287.45	1370.1201
287.4	1484.8181
287.35	1597.4308
287.3	1507.7578
287.25	1557.8079
287.2	1593.26
287.15	1518.1848
287.1	1472.3057
287.05	1357.6077
287	1290.8743
286.95	1202.2439
286.9	1046.8802
286.85	985.3604
286.8	820.6123
286.75	668.3767
286.7	560.9777
286.65	506.7568
286.6	459.8348
286.55	392.0587
286.5	327.4107
286.45	358.692
286.4	279.4461
286.35	259.6346
286.3	223.1398
286.25	243.994
286.2	206.4565
286.15	211.67
286.1	218.969
286.05	218.969
286	240.8659
285.95	294.044
285.9	333.667
285.85	330.5389
285.8	389.9733
285.75	379.5462
285.7	457.7494
285.65	511.9703
285.6	559.9349
285.55	597.4725
285.5	688.1882
285.45	712.1705
285.4	795.5873
285.35	838.3384
285.3	940.5239
285.25	1053.1365
285.2	1161.5782
285.15	1190.7742
285.1	1264.8065
285.05	1303.3867
285	1378.4618
284.95	1431.64
284.9	1415.9994
284.85	1505.6724
284.8	1409.743
284.75	1438.939
284.7	1447.2806
284.65	1366.9921
284.6	1289.8315
284.55	1292.9596
284.5	1188.6887
284.45	1137.5959
284.4	1093.8021
284.35	1085.4604
284.3	1005.1719
284.25	1087.5459
284.2	1070.8625
284.15	1141.7667
284.1	1188.6887
284.05	1325.2837
284	1346.1378
283.95	1539.0391
283.9	1781.9904
283.85	1956.1228
283.8	2214.7148
283.75	2496.2463
283.7	2673.5068
283.65	2833.0415
283.6	3229.271
283.55	3359.6096
283.5	3449.2827
283.45	3617.1589
283.4	3875.7507
283.35	3776.6934
283.3	3887.2207
283.25	3847.5977
283.2	3831.957
283.15	3671.3799
283.1	3416.9587
283.05	3259.5095
283	2971.7217
282.95	2768.3936
282.9	2651.6099
282.85	2242.8679
282.8	1978.0198
282.75	1698.5736
282.7	1468.1348
282.65	1261.6783
282.6	1068.7771
282.55	883.1749
282.5	753.8789
282.45	629.7964
282.4	521.3547
282.35	461.9203
282.3	403.5285
282.25	356.6066
282.2	275.2753
282.15	269.019
282.1	242.9513
282.05	215.8409
282	167.8762
281.95	184.5596
281.9	154.321
281.85	182.4741
281.8	149.1074
281.75	145.9793
281.7	155.3637
281.65	148.0647
281.6	137.6376
281.55	129.296
281.5	125.1251
281.45	143.8939
281.4	131.3814
281.35	118.8689
281.3	131.3814
281.25	148.0647
281.2	111.5699
281.15	120.9543
281.1	120.9543
281.05	130.3387
281	104.2709
280.95	132.4241
280.9	98.0147
280.85	115.7407
280.8	123.0397
280.75	119.9116
280.7	138.6803
280.65	115.7407
280.6	126.1678
280.55	123.0397
280.5	115.7407
280.45	101.1428
280.4	117.8262
280.35	106.3564
280.3	106.3564
280.25	105.3137
280.2	95.9293
280.15	117.8262
280.1	125.1251
280.05	100.1001
280	106.3564
279.95	130.3387
279.9	105.3137
279.85	110.5272
279.8	123.0397
279.75	141.8085
279.7	102.1855
279.65	112.6126
279.6	91.7584
279.55	109.4845
279.5	81.3313
279.45	104.2709
279.4	112.6126
279.35	102.1855
279.3	114.698
279.25	98.0147
279.2	113.6553
279.15	100.1001
279.1	131.3814
279.05	101.1428
279	100.1001
278.95	114.698
278.9	124.0824
278.85	111.5699
278.8	136.5949
278.75	112.6126
278.7	111.5699
278.65	120.9543
278.6	114.698
278.55	109.4845
278.5	111.5699
278.45	114.698
278.4	121.997
278.35	99.0574
278.3	132.4241
278.25	106.3564
278.2	109.4845
278.15	103.2282
278.1	103.2282
278.05	100.1001
278	117.8262
