PE/eV	Ab170112_1358_Is_norm
270	0.443218098
270.1	0.443235431
270.2	0.445376842
270.3	0.44493062
270.4	0.445210179
270.5	0.445405164
270.6	0.446464528
270.7	0.445194902
270.8	0.445484809
270.9	0.445261575
271	0.445340127
271.1	0.44508328
271.2	0.444832158
271.3	0.444551749
271.4	0.444830363
271.5	0.44305146
271.6	0.443143276
271.7	0.442693236
271.8	0.441559087
271.9	0.441089755
272	0.440847067
272.1	0.440278795
272.2	0.439431619
272.3	0.438384683
272.4	0.438552341
272.5	0.436089017
272.6	0.436181858
272.7	0.436348118
272.8	0.434800093
272.9	0.43532565
273	0.435266037
273.1	0.434621339
273.2	0.434746082
273.3	0.433289233
273.4	0.433995312
273.5	0.433153919
273.6	0.432812783
273.7	0.433591774
273.8	0.432794735
273.9	0.432067953
274	0.431536277
274.1	0.431447324
274.2	0.431945795
274.3	0.431524864
274.4	0.430284114
274.5	0.430539468
274.6	0.429689611
274.7	0.43002436
274.8	0.430039493
274.9	0.4293409
275	0.429266582
275.1	0.428815409
275.2	0.428804708
275.3	0.428293589
275.4	0.428448264
275.5	0.429103695
275.6	0.428325708
275.7	0.428453879
275.8	0.427793422
275.9	0.427682892
276	0.429089164
276.1	0.427935442
276.2	0.427917267
276.3	0.427513058
276.4	0.427441363
276.5	0.427453403
276.6	0.426741251
276.7	0.426755407
276.8	0.426103296
276.9	0.426265786
277	0.426379444
277.1	0.424457079
277.2	0.426201455
277.3	0.424959935
277.4	0.424724085
277.5	0.424507754
277.6	0.424951872
277.7	0.426039918
277.8	0.425049366
277.9	0.424528221
278	0.424759506
278.1	0.425388793
278.2	0.423652447
278.3	0.424298854
278.4	0.424632974
278.5	0.424032787
278.6	0.423631891
278.7	0.423628191
278.8	0.423813608
278.9	0.424514929
279	0.423940987
279.1	0.423941814
279.2	0.423605521
279.3	0.424752161
279.4	0.422993957
279.5	0.424458361
279.6	0.423932259
279.7	0.424171994
279.8	0.423836647
279.9	0.424051194
280	0.424188024
280.1	0.425738546
280.2	0.425262228
280.3	0.425643495
280.4	0.426485737
280.5	0.426979942
280.6	0.428314344
280.7	0.427684472
280.8	0.429115193
280.9	0.42906897
281	0.4299879
281.1	0.43178149
281.2	0.431772376
281.3	0.433199177
281.4	0.43466773
281.5	0.435113483
281.6	0.43648349
281.7	0.437300277
281.8	0.436104729
281.9	0.437731189
282	0.439265649
282.1	0.441138288
282.2	0.445194532
282.3	0.447517043
282.4	0.454654565
282.5	0.460073719
282.6	0.468764351
282.7	0.47577099
282.8	0.485514288
282.9	0.495167498
283	0.506566838
283.1	0.522107724
283.2	0.534318659
283.3	0.555026727
283.4	0.575642657
283.5	0.601449103
283.6	0.651181452
283.7	0.686568584
283.8	0.744521469
283.9	0.821213241
284	0.926114225
284.1	1.041722277
284.2	1.198213046
284.3	1.374961052
284.4	1.53086222
284.5	1.707134813
284.6	1.848837567
284.7	1.953049022
284.8	2.041103458
284.9	2.071353901
285	2.025015943
285.1	1.909514778
285.2	1.755251673
285.3	1.580626646
285.4	1.437947066
285.5	1.357080253
285.6	1.28734113
285.7	1.250686068
285.8	1.21859073
285.9	1.197813377
286	1.179093492
286.1	1.15116883
286.2	1.134140576
286.3	1.124476575
286.4	1.12915123
286.5	1.14427757
286.6	1.16422598
286.7	1.187638466
286.8	1.20649592
286.9	1.225278053
287	1.235281978
287.1	1.24722584
287.2	1.250757661
287.3	1.254374547
287.4	1.254441814
287.5	1.257783298
287.6	1.265652788
287.7	1.280425794
287.8	1.286296305
287.9	1.283479683
288	1.27339832
288.1	1.256225851
288.2	1.237191278
288.3	1.219734243
288.4	1.203083904
288.5	1.189222311
288.6	1.182058367
288.7	1.170520125
288.8	1.16547224
288.9	1.156832124
289	1.149470266
289.1	1.142061305
289.2	1.136187441
289.3	1.130058135
289.4	1.125212903
289.5	1.12028201
289.6	1.112787676
289.7	1.112649214
289.8	1.113296787
289.9	1.115382492
290	1.117653123
290.1	1.127912278
290.2	1.144239434
290.3	1.166869607
290.4	1.211763067
290.5	1.269360419
290.6	1.372927887
290.7	1.54844206
290.8	1.77765362
290.9	2.035297068
291	2.239046281
291.1	2.356417222
291.2	2.325507174
291.3	2.243783028
291.4	2.193993973
291.5	2.198644145
291.6	2.256266143
291.7	2.314928167
291.8	2.366010376
291.9	2.409080596
292	2.44298626
292.1	2.455498501
292.2	2.461858994
292.3	2.446548605
292.4	2.423256486
292.5	2.40385901
292.6	2.380946312
292.7	2.343267992
292.8	2.30881276
292.9	2.279852194
293	2.245763176
293.1	2.211912352
293.2	2.18361251
293.3	2.160912796
293.4	2.133571959
293.5	2.123523688
293.6	2.108716765
293.7	2.104327714
293.8	2.104266824
293.9	2.100646071
294	2.107473495
294.1	2.109545674
294.2	2.117024182
294.3	2.126241845
294.4	2.128642615
294.5	2.130794427
294.6	2.137124897
294.7	2.140700572
294.8	2.14796709
294.9	2.145497407
295	2.15661886
295.1	2.164935616
295.2	2.167712773
295.3	2.171180621
295.4	2.18019184
295.5	2.189080578
295.6	2.197913539
295.7	2.212692562
295.8	2.212415413
295.9	2.222338148
296	2.230448235
296.1	2.236810593
296.2	2.244488982
296.3	2.249227021
296.4	2.256144746
296.5	2.25572129
296.6	2.261854112
296.7	2.262657288
296.8	2.260386916
296.9	2.254176428
297	2.253454149
297.1	2.25038268
297.2	2.25544193
297.3	2.249908727
297.4	2.251556246
297.5	2.245947389
297.6	2.248486142
297.7	2.242043373
297.8	2.241674678
297.9	2.237614411
298	2.237930108
298.1	2.235877532
298.2	2.23377107
298.3	2.239838045
298.4	2.237111283
298.5	2.239296659
298.6	2.235712531
298.7	2.238294931
298.8	2.238058028
298.9	2.240890233
299	2.23990244
299.1	2.243482618
299.2	2.246252218
299.3	2.244347852
299.4	2.247792054
299.5	2.247240271
299.6	2.258385876
299.7	2.261302656
299.8	2.261916013
299.9	2.268040888
300	2.270298633
300.1	2.276163484
300.2	2.281332246
300.3	2.2864712
300.4	2.292580419
300.5	2.293692757
300.6	2.301857814
300.7	2.308820863
300.8	2.310485155
300.9	2.315953078
301	2.315908632
301.1	2.321152626
301.2	2.330801
301.3	2.332864971
301.4	2.336476794
301.5	2.345408029
301.6	2.347889576
301.7	2.354765716
301.8	2.361467378
301.9	2.37018688
302	2.378548166
302.1	2.384135623
302.2	2.391784968
302.3	2.397466462
302.4	2.40120775
302.5	2.408947935
302.6	2.413729286
302.7	2.4164167
302.8	2.424082018
302.9	2.422128137
303	2.421512624
303.1	2.41806688
303.2	2.415639302
303.3	2.413651752
303.4	2.405593378
303.5	2.408701682
303.6	2.398578341
303.7	2.398192161
303.8	2.39228881
303.9	2.385323712
304	2.378097821
304.1	2.374667607
304.2	2.367752072
304.3	2.364396764
304.4	2.360108041
304.5	2.360955825
304.6	2.355802147
304.7	2.360593725
304.8	2.353230794
304.9	2.35798166
305	2.353838073
305.1	2.358222267
305.2	2.357937458
305.3	2.362736107
305.4	2.362724178
305.5	2.365651417
305.6	2.371106651
305.7	2.377474592
305.8	2.384296113
305.9	2.383784649
306	2.392748776
306.1	2.397221204
306.2	2.398947657
306.3	2.400980677
306.4	2.414045806
306.5	2.410050859
306.6	2.408764065
306.7	2.407861286
306.8	2.410884616
306.9	2.398915643
307	2.399956397
307.1	2.397245814
307.2	2.391886166
307.3	2.3858732
307.4	2.377330745
307.5	2.369429961
307.6	2.359123331
307.7	2.350047306
307.8	2.339466119
307.9	2.324123891
308	2.317859384
308.1	2.301282738
308.2	2.291550968
308.3	2.275887218
308.4	2.258346256
308.5	2.242371954
308.6	2.230595303
308.7	2.21392733
308.8	2.196457324
308.9	2.181090371
309	2.161693381
309.1	2.14792543
309.2	2.130289811
309.3	2.110438031
309.4	2.096631676
309.5	2.077985941
309.6	2.057610957
309.7	2.041242526
309.8	2.024207407
309.9	2.008100614
310	1.987209614
310.1	1.971560273
310.2	1.956334411
310.3	1.934462608
310.4	1.918368418
310.5	1.902270283
310.6	1.884439556
310.7	1.864257826
310.8	1.848629225
310.9	1.832661345
311	1.815301611
311.1	1.801159669
311.2	1.786805967
311.3	1.773270776
311.4	1.755973697
311.5	1.744033449
311.6	1.728739172
311.7	1.715789003
311.8	1.702976519
311.9	1.689625869
312	1.678890509
312.1	1.667619039
312.2	1.658764675
312.3	1.648858123
312.4	1.639217279
312.5	1.630515141
312.6	1.624489476
312.7	1.61733676
312.8	1.608948437
312.9	1.603849693
313	1.598127633
313.1	1.592225939
313.2	1.587162159
313.3	1.582910409
313.4	1.578372139
313.5	1.575069282
313.6	1.569972308
313.7	1.56721286
313.8	1.562148317
313.9	1.559163291
314	1.554129404
314.1	1.553689921
314.2	1.549392702
314.3	1.54724409
314.4	1.542855097
314.5	1.542699512
314.6	1.542483552
314.7	1.536911447
314.8	1.536954876
314.9	1.535208225
315	1.534889003
315.1	1.530120438
315.2	1.530710419
315.3	1.527921703
315.4	1.526345326
315.5	1.524500782
315.6	1.52168688
315.7	1.519197502
315.8	1.51554573
315.9	1.516045816
316	1.512680804
316.1	1.509369515
316.2	1.507698976
316.3	1.502810644
316.4	1.505156043
316.5	1.50065886
316.6	1.498594159
316.7	1.498065706
316.8	1.495778618
316.9	1.493119835
317	1.491030444
317.1	1.491932015
317.2	1.4896581
317.3	1.487275667
317.4	1.488344577
317.5	1.485595327
317.6	1.485458801
317.7	1.484616072
317.8	1.483958672
317.9	1.483392284
318	1.484418563
318.1	1.484142501
318.2	1.48337213
318.3	1.484201335
318.4	1.485534313
318.5	1.487139529
318.6	1.487255625
318.7	1.489827197
318.8	1.491475396
318.9	1.49289296
319	1.495499255
319.1	1.498390135
319.2	1.49973772
319.3	1.50041079
319.4	1.502899512
319.5	1.504980301
319.6	1.508341621
319.7	1.509425697
319.8	1.512371502
319.9	1.516055455
320	1.521521118
320.1	1.522441318
320.2	1.524970904
320.3	1.527659046
320.4	1.531663993
320.5	1.533912212
320.6	1.538059949
320.7	1.541139535
320.8	1.543372711
320.9	1.547119143
321	1.554018356
321.1	1.554976337
321.2	1.560150215
321.3	1.563390756
321.4	1.567210483
321.5	1.571171704
321.6	1.575650087
321.7	1.580306388
321.8	1.585740743
321.9	1.588044343
322	1.593298697
322.1	1.596465489
322.2	1.600913585
322.3	1.605949977
322.4	1.612158843
322.5	1.615740812
322.6	1.621634854
322.7	1.626194444
322.8	1.631781058
322.9	1.634646875
323	1.6416793
323.1	1.645987439
323.2	1.654042454
323.3	1.656909559
323.4	1.664252062
323.5	1.663795966
323.6	1.671243566
323.7	1.676146378
323.8	1.682830422
323.9	1.68602963
324	1.692276915
324.1	1.696142772
324.2	1.698939497
324.3	1.703350734
324.4	1.70849576
324.5	1.711860318
324.6	1.713644601
324.7	1.719145969
324.8	1.724648699
324.9	1.72786559
325	1.732449101
325.1	1.736207734
325.2	1.738819999
325.3	1.743074312
325.4	1.742416781
325.5	1.748032277
325.6	1.750781324
325.7	1.75143924
325.8	1.75457125
325.9	1.757700446
326	1.75723291
326.1	1.760510292
326.2	1.760012251
326.3	1.762027445
326.4	1.761485573
326.5	1.766153667
326.6	1.767658487
326.7	1.768665178
326.8	1.768708133
326.9	1.771524929
327	1.771199136
327.1	1.770175648
327.2	1.770217076
327.3	1.769649457
327.4	1.770146612
327.5	1.772698842
327.6	1.771824439
327.7	1.77120932
327.8	1.771437124
327.9	1.771216308
328	1.772516355
328.1	1.771051245
328.2	1.77025587
328.3	1.768721902
328.4	1.770018887
328.5	1.769084422
328.6	1.765336637
328.7	1.765466811
328.8	1.765742072
328.9	1.764345669
329	1.760856489
329.1	1.761034806
329.2	1.761768563
329.3	1.760141213
329.4	1.758443543
329.5	1.754535814
329.6	1.753666005
329.7	1.751468809
329.8	1.750052034
329.9	1.747310123
330	1.745817934
330.1	1.745190385
330.2	1.742100613
330.3	1.736899033
330.4	1.738079255
330.5	1.735551583
330.6	1.732513466
330.7	1.729272744
330.8	1.725286815
330.9	1.725090418
331	1.720094648
331.1	1.717238547
331.2	1.714593736
331.3	1.713348043
331.4	1.70955829
331.5	1.704821282
331.6	1.701479694
331.7	1.697885408
331.8	1.694912917
331.9	1.692778349
332	1.688945751
332.1	1.686334665
332.2	1.683626833
332.3	1.678652028
332.4	1.675215083
332.5	1.67012477
332.6	1.667938809
332.7	1.661795975
332.8	1.659251647
332.9	1.654999669
333	1.654158534
333.1	1.649045017
333.2	1.643846602
333.3	1.639880416
333.4	1.634866641
333.5	1.631778582
333.6	1.627943618
333.7	1.624329026
333.8	1.619971387
333.9	1.613840353
334	1.611244477
334.1	1.608224734
334.2	1.603765263
