PE/eV	171126_1028_Is
450	3.508135
450.1	3.511066
450.2	3.513511
450.3	3.512805
450.4	3.512696
450.5	3.514859
450.6	3.516564
450.7	3.518603
450.8	3.522395
450.9	3.524795
451	3.525111
451.1	3.529255
451.2	3.532964
451.3	3.536397
451.4	3.540921
451.5	3.545103
451.6	3.546597
451.7	3.551366
451.8	3.555682
451.9	3.561228
452	3.565676
452.1	3.569898
452.2	3.579547
452.3	3.585437
452.4	3.597892
452.5	3.604904
452.6	3.613708
452.7	3.625255
452.8	3.635995
452.9	3.654705
453	3.671644
453.1	3.69235
453.2	3.713668
453.3	3.739108
453.4	3.785852
453.5	3.829382
453.6	3.91831
453.7	4.021607
453.8	4.177421
453.9	4.501759
454	4.807701
454.1	5.166077
454.2	5.323498
454.3	5.386894
454.4	5.417791
454.5	5.530487
454.6	5.775022
454.7	6.216308
454.8	6.516589
454.9	6.795894
455	6.955335
455.1	7.228899
455.2	8.129065
455.3	9.465917
455.4	12.28755
455.5	14.979655
455.6	17.39374
455.7	18.844196
455.8	18.627007
455.9	17.026316
456	14.010642
456.1	11.749743
456.2	10.107938
456.3	8.873507
456.4	8.536034
456.5	8.646905
456.6	9.073424
456.7	9.782257
456.8	11.172059
456.9	12.545538
457	14.139077
457.1	16.270926
457.2	17.715983
457.3	18.90494
457.4	19.784142
457.5	19.873956
457.6	19.602055
457.7	18.989617
457.8	18.569062
457.9	18.214851
458	17.901666
458.1	17.732457
458.2	17.564776
458.3	17.28713
458.4	16.962263
458.5	16.502971
458.6	15.671476
458.7	14.857862
458.8	13.98868
458.9	12.829821
459	12.061075
459.1	11.347414
459.2	10.636648
459.3	10.24338
459.4	10.002559
459.5	9.906442
459.6	9.968838
459.7	10.139701
459.8	10.491495
459.9	10.881891
460	11.367603
460.1	11.937401
460.2	12.848883
460.3	13.680926
460.4	14.654629
460.5	16.143028
460.6	17.29535
460.7	18.378616
460.8	19.50384
460.9	20.071961
461	20.274951
461.1	20.123819
461.2	19.482083
461.3	18.829119
461.4	18.139053
461.5	17.282996
461.6	16.785917
461.7	16.482378
461.8	16.399739
461.9	16.611361
462	16.969333
462.1	17.492723
462.2	18.383119
462.3	19.15229
462.4	20.011846
462.5	20.812176
462.6	21.839966
462.7	22.503163
462.8	23.029949
462.9	23.407506
463	23.577372
463.1	23.449139
463.2	23.172872
463.3	22.712593
463.4	21.975505
463.5	21.298297
463.6	20.541553
463.7	19.793172
463.8	18.823533
463.9	18.107519
464	17.380622
464.1	16.614515
464.2	15.618469
464.3	14.907789
464.4	14.244035
464.5	13.608811
464.6	12.830922
464.7	12.298507
464.8	11.787506
464.9	11.333853
465	10.834766
465.1	10.517468
465.2	10.227633
465.3	9.972087
465.4	9.676183
465.5	9.483246
465.6	9.326991
465.7	9.192533
465.8	9.06497
465.9	8.924151
466	8.816387
466.1	8.724604
466.2	8.64219
466.3	8.53424
466.4	8.454571
466.5	8.374863
466.6	8.297522
466.7	8.229592
466.8	8.133767
466.9	8.072165
467	8.018261
467.1	7.972002
467.2	7.930612
467.3	7.888026
467.4	7.865504
467.5	7.858494
467.6	7.848173
467.7	7.864392
467.8	7.872403
467.9	7.892041
468	7.896847
468.1	7.91314
468.2	7.917919
468.3	7.91689
468.4	7.907042
468.5	7.892441
468.6	7.864494
468.7	7.837711
468.8	7.792698
468.9	7.765062
469	7.733477
469.1	7.715866
469.2	7.703062
469.3	7.692836
469.4	7.686816
469.5	7.685394
469.6	7.696099
469.7	7.706252
469.8	7.72285
469.9	7.743543
470	7.751175
470.1	7.751432
470.2	7.763206
470.3	7.753764
470.4	7.755148
470.5	7.734624
470.6	7.711772
470.7	7.685688
470.8	7.657973
470.9	7.625237
471	7.599266
471.1	7.558755
471.2	7.524052
471.3	7.49312
471.4	7.469777
471.5	7.455721
471.6	7.441824
471.7	7.431633
471.8	7.426363
471.9	7.423316
472	7.425022
472.1	7.437679
472.2	7.451964
472.3	7.46937
472.4	7.492174
472.5	7.519924
472.6	7.55981
472.7	7.592919
472.8	7.628012
472.9	7.668454
473	7.70403
473.1	7.740545
473.2	7.776697
473.3	7.800803
473.4	7.834101
473.5	7.851112
473.6	7.858786
473.7	7.865286
473.8	7.850379
473.9	7.8383
474	7.819767
474.1	7.800971
474.2	7.762135
474.3	7.737498
474.4	7.717771
474.5	7.705143
474.6	7.694892
474.7	7.693856
474.8	7.690328
474.9	7.693762
475	7.696717
